,name,team,age,min,pts,fgm,threepm,ftm,oreb,dreb,reb,ast,stl,blk,gp,wg,lg,winrate,year,dist_miles,dist_off,dist_def,avg_speed,avg_speed_off,avg_speed_def
868,Tarik Black,LAL,23,19.0,6.0,2.5,0.0,1.0,2.3,3.6,5.8,0.7,0.3,0.4,63,25,38,0.3968253968253968,2014,1.33,0.72,0.62,4.21,4.41,4.0
869,Tayshaun Prince,DET,35,24.1,7.5,3.1,0.5,0.8,0.9,2.7,3.6,1.6,0.5,0.3,58,27,31,0.4655172413793103,2014,1.65,0.9,0.76,4.12,4.4,3.83
870,Terrence Ross,TOR,24,25.5,9.8,3.8,1.8,0.5,0.4,2.4,2.8,1.0,0.6,0.3,82,49,33,0.5975609756097561,2014,1.84,0.99,0.85,4.34,4.58,4.09
871,Thabo Sefolosha,ATL,31,18.8,5.3,2.0,0.5,0.9,1.0,3.3,4.3,1.4,1.0,0.4,52,43,9,0.8269230769230769,2014,1.34,0.7,0.64,4.3,4.54,4.07
872,Thomas Robinson,PHI,24,14.8,5.7,2.3,0.0,1.0,1.8,3.9,5.6,0.6,0.6,0.4,54,26,28,0.4814814814814815,2014,1.06,0.57,0.49,4.32,4.53,4.09
873,Tiago Splitter,SAS,30,19.8,8.2,3.3,0.0,1.7,1.8,3.1,4.8,1.5,0.7,0.7,52,34,18,0.6538461538461539,2014,1.41,0.76,0.65,4.28,4.63,3.95
874,Tim Duncan,SAS,39,28.9,13.9,5.4,0.0,3.0,2.2,6.9,9.1,3.0,0.8,2.0,77,53,24,0.6883116883116883,2014,1.85,0.99,0.85,3.83,4.06,3.6
875,Tim Frazier,POR,24,21.8,5.2,1.9,0.5,0.9,0.5,2.0,2.5,5.5,0.7,0.0,11,3,8,0.2727272727272727,2014,1.65,0.9,0.76,4.57,5.04,4.11
877,Tim Hardaway Jr.,NYK,23,24.0,11.5,4.0,1.7,1.8,0.2,2.1,2.2,1.8,0.3,0.2,70,16,54,0.22857142857142854,2014,1.68,0.93,0.75,4.21,4.54,3.88
879,Timofey Mozgov,CLE,28,25.3,9.7,3.9,0.0,1.9,2.5,4.8,7.3,0.7,0.4,1.2,81,49,32,0.6049382716049383,2014,1.84,0.99,0.85,4.38,4.71,4.04
881,Tobias Harris,ORL,22,34.8,17.1,6.5,1.3,2.8,1.1,5.3,6.3,1.8,1.0,0.5,68,20,48,0.29411764705882354,2014,2.42,1.3,1.13,4.19,4.5,3.87
883,Toney Douglas,NOP,29,14.7,4.3,1.6,0.4,0.7,0.2,1.7,1.8,2.0,0.9,0.3,12,7,5,0.5833333333333334,2014,1.14,0.61,0.53,4.66,4.96,4.36
885,Tony Parker,SAS,33,28.7,14.4,5.9,0.6,1.9,0.2,1.7,1.9,4.9,0.6,0.0,68,48,20,0.7058823529411765,2014,2.21,1.28,0.93,4.62,5.21,4.01
887,Tony Snell,CHI,23,19.6,6.0,2.2,1.0,0.6,0.4,2.0,2.4,0.9,0.4,0.2,72,43,29,0.5972222222222222,2014,1.39,0.75,0.64,4.27,4.53,4.0
889,Tony Wroten,PHI,22,29.8,16.9,5.8,1.2,4.0,0.7,2.1,2.9,5.2,1.6,0.3,30,4,26,0.13333333333333333,2014,2.13,1.18,0.95,4.28,4.76,3.81
891,Toure' Murry,UTA,25,3.6,1.2,0.4,0.0,0.4,0.2,0.0,0.2,0.2,0.2,0.0,5,3,2,0.6,2014,0.28,0.13,0.15,4.62,5.59,3.93
893,Trevor Booker,UTA,27,19.8,7.2,2.9,0.4,1.1,1.8,3.3,5.0,1.1,0.5,0.5,79,37,42,0.4683544303797468,2014,1.4,0.77,0.63,4.26,4.53,3.97
895,Trey Burke,UTA,22,30.1,12.8,4.9,1.6,1.4,0.4,2.3,2.7,4.3,0.9,0.2,76,35,41,0.4605263157894737,2014,2.13,1.2,0.93,4.25,4.61,3.87
897,Tristan Thompson,CLE,24,26.8,8.5,3.3,0.0,1.9,3.3,4.7,8.0,0.5,0.4,0.7,82,53,29,0.6463414634146342,2014,1.91,1.03,0.88,4.28,4.51,4.04
899,Troy Daniels,CHA,23,8.5,3.7,1.3,0.9,0.2,0.2,0.5,0.7,0.5,0.1,0.0,47,15,32,0.3191489361702128,2014,0.66,0.36,0.3,4.61,4.98,4.22
901,Ty Lawson,DEN,27,35.5,15.2,5.4,0.9,3.5,0.6,2.6,3.1,9.6,1.2,0.1,75,29,46,0.38666666666666666,2014,2.37,1.23,1.14,4.01,4.29,3.74
903,Tyler Ennis,MIL,20,12.5,3.7,1.6,0.4,0.2,0.2,0.8,1.1,2.2,0.5,0.2,33,11,22,0.3333333333333333,2014,0.95,0.52,0.43,4.55,5.03,4.08
905,Tyler Hansbrough,TOR,29,14.3,3.6,1.2,0.0,1.3,1.4,2.1,3.6,0.3,0.4,0.2,74,45,29,0.6081081081081081,2014,0.98,0.51,0.48,4.13,4.17,4.08
907,Tyler Johnson,MIA,23,18.8,5.9,2.2,0.6,1.0,0.4,2.1,2.5,1.3,1.0,0.3,32,15,17,0.46875,2014,1.37,0.71,0.66,4.37,4.59,4.14
909,Tyler Zeller,BOS,25,21.1,10.2,4.1,0.0,1.9,1.8,3.9,5.7,1.4,0.2,0.6,82,40,42,0.4878048780487805,2014,1.48,0.78,0.7,4.21,4.58,3.87
911,Tyreke Evans,NOP,25,34.0,16.6,6.6,0.9,2.6,1.0,4.2,5.3,6.6,1.3,0.5,79,43,36,0.5443037974683544,2014,2.27,1.27,1.01,4.01,4.36,3.65
913,Tyrus Thomas,MEM,28,3.3,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2,2,0,1.0,2014,0.2,0.11,0.09,3.68,3.55,3.83
915,Tyson Chandler,DAL,32,30.5,10.3,3.9,0.0,2.5,3.9,7.6,11.5,1.1,0.6,1.2,75,47,28,0.6266666666666667,2014,1.96,1.0,0.97,3.87,4.01,3.73
917,Vander Blue,LAL,22,36.9,11.0,4.5,1.0,1.0,1.0,3.5,4.5,4.0,1.5,0.0,2,0,2,0.0,2014,2.61,1.51,1.09,4.24,4.56,3.87
919,Victor Claver,POR,26,7.6,2.4,0.9,0.6,0.0,0.3,1.7,2.0,0.1,0.1,0.1,10,6,4,0.6,2014,0.54,0.29,0.25,4.26,4.74,3.82
921,Victor Oladipo,ORL,23,35.7,17.9,6.6,1.2,3.6,0.7,3.5,4.2,4.1,1.7,0.3,72,22,50,0.3055555555555556,2014,2.55,1.35,1.2,4.31,4.61,4.0
923,Vince Carter,MEM,38,16.5,5.8,2.0,1.0,0.7,0.4,1.6,2.0,1.2,0.7,0.2,66,45,21,0.6818181818181818,2014,1.11,0.6,0.51,4.03,4.38,3.68
925,Wayne Ellington,LAL,27,25.8,10.0,3.9,1.4,0.8,0.5,2.8,3.2,1.6,0.5,0.0,65,18,47,0.2769230769230769,2014,1.83,1.0,0.83,4.28,4.6,3.94
927,Wesley Johnson,LAL,27,29.5,9.9,3.8,1.2,1.2,0.9,3.3,4.2,1.6,0.8,0.6,76,20,56,0.2631578947368421,2014,1.99,1.05,0.94,4.05,4.18,3.92
929,Wesley Matthews,POR,28,33.7,15.9,5.6,2.9,1.8,0.6,3.1,3.7,2.3,1.3,0.2,60,41,19,0.6833333333333333,2014,2.4,1.33,1.07,4.27,4.68,3.86
931,Will Barton,DEN,24,17.0,6.8,2.6,0.4,1.3,0.4,2.3,2.8,1.4,0.8,0.3,58,30,28,0.5172413793103449,2014,1.25,0.68,0.57,4.42,4.84,4.01
933,Will Bynum,WAS,32,9.5,3.1,1.4,0.0,0.3,0.3,0.6,0.9,2.6,0.1,0.1,7,4,3,0.5714285714285714,2014,0.64,0.36,0.29,4.06,4.34,3.75
935,Will Cherry,TOR,24,8.7,1.9,0.6,0.3,0.4,0.1,0.5,0.6,1.0,0.8,0.1,8,6,2,0.75,2014,0.62,0.33,0.29,4.32,4.42,4.05
937,Willie Green,ORL,33,18.3,5.9,2.3,0.8,0.5,0.3,1.3,1.5,1.3,0.5,0.1,52,15,37,0.28846153846153844,2014,1.27,0.66,0.61,4.17,4.47,3.89
939,Wilson Chandler,DEN,28,31.7,13.9,5.4,1.8,1.4,1.2,4.9,6.1,1.7,0.7,0.4,78,28,50,0.35897435897435903,2014,2.19,1.16,1.03,4.16,4.49,3.85
941,Wilson Chandler,DEN,28,31.7,13.9,5.4,1.8,1.4,1.2,4.9,6.1,1.7,0.7,0.4,78,28,50,0.35897435897435903,2014,2.12,1.11,1.01,4.04,4.18,3.89
