,name,team,age,min,pts,fgm,threepm,ftm,oreb,dreb,reb,ast,stl,blk,gp,wg,lg,winrate,year,dist_miles,dist_off,dist_def,avg_speed,avg_speed_off,avg_speed_def
0,AJ Price,MIN,27,3.5,1.6,0.7,0.2,0.0,0.0,0.3,0.4,0.5,0.0,0.0,28,15,13,0.5357142857142857,2013,0.26,0.14,0.11,4.37,4.62,3.96
1,Aaron Brooks,DEN,29,21.6,9.0,3.2,1.3,1.2,0.6,1.3,1.9,3.2,0.7,0.2,72,42,30,0.5833333333333334,2013,1.52,0.77,0.75,4.23,4.49,3.99
2,Adonis Thomas,PHI,21,6.3,2.3,1.0,0.2,0.2,0.0,0.5,0.5,0.5,0.0,0.0,6,2,4,0.3333333333333333,2013,0.48,0.25,0.23,4.64,5.21,4.16
3,Al Horford,ATL,28,33.0,18.6,8.2,0.1,2.0,2.3,6.1,8.4,2.6,0.9,1.5,29,16,13,0.5517241379310345,2013,2.24,1.15,1.08,4.08,4.43,3.78
4,Al Jefferson,CHA,29,35.0,21.8,9.6,0.0,2.6,2.1,8.7,10.8,2.1,0.9,1.1,73,38,35,0.5205479452054794,2013,2.21,1.17,1.04,3.81,3.92,3.68
5,Al-Farouq Aminu,NOP,23,25.6,7.2,2.9,0.2,1.1,1.6,4.6,6.2,1.4,1.0,0.5,80,33,47,0.4125,2013,1.88,1.01,0.87,4.43,4.75,4.1
6,Alan Anderson,BKN,31,22.7,7.2,2.5,1.1,1.2,0.5,1.7,2.2,1.0,0.6,0.1,78,43,35,0.5512820512820513,2013,1.52,0.78,0.74,4.04,4.1,3.99
7,Alec Burks,UTA,22,28.1,14.0,4.9,0.6,3.6,0.8,2.5,3.3,2.7,0.9,0.2,78,24,54,0.3076923076923077,2013,2.01,1.1,0.91,4.3,4.5,4.09
8,Alex Len,PHX,21,8.6,2.0,0.8,0.0,0.5,0.9,1.4,2.4,0.1,0.1,0.4,42,24,18,0.5714285714285714,2013,0.62,0.34,0.29,4.35,4.62,4.07
9,Alexey Shved,MIN,25,10.5,4.0,1.2,0.5,1.1,0.3,1.0,1.3,1.1,0.4,0.3,63,28,35,0.4444444444444444,2013,0.76,0.41,0.35,4.35,4.63,4.07
10,Alexis Ajinca,NOP,26,17.0,5.9,2.4,0.0,1.0,1.7,3.3,4.9,0.7,0.4,0.8,56,22,34,0.3928571428571429,2013,1.2,0.66,0.54,4.26,4.53,3.99
11,Allen Crabbe,POR,22,6.7,2.2,0.8,0.4,0.2,0.1,0.5,0.6,0.4,0.1,0.1,15,12,3,0.8,2013,0.47,0.25,0.21,4.21,4.46,3.94
12,Alonzo Gee,CLE,27,15.7,4.0,1.5,0.3,0.7,0.5,1.8,2.3,0.7,0.6,0.2,65,29,36,0.4461538461538462,2013,1.19,0.62,0.57,4.56,4.82,4.31
13,Amar'e Stoudemire,NYK,31,22.6,11.9,4.8,0.0,2.3,1.7,3.2,4.9,0.5,0.4,0.6,65,26,39,0.4,2013,1.46,0.76,0.7,3.9,3.92,3.88
14,Anderson Varejao,CLE,31,27.7,8.4,3.5,0.0,1.4,2.9,6.8,9.7,2.2,1.1,0.6,65,25,40,0.38461538461538464,2013,2.04,1.06,0.97,4.41,4.63,4.19
15,Andre Drummond,DET,20,32.3,13.5,5.9,0.0,1.7,5.4,7.8,13.2,0.4,1.2,1.6,81,29,52,0.3580246913580247,2013,2.22,1.16,1.07,4.14,4.29,3.98
16,Andre Iguodala,GSW,30,32.4,9.3,3.5,1.0,1.4,0.8,3.8,4.7,4.2,1.5,0.3,63,41,22,0.6507936507936508,2013,2.24,1.14,1.1,4.2,4.54,3.89
17,Andre Roberson,OKC,22,10.0,1.9,0.8,0.1,0.2,0.9,1.5,2.4,0.4,0.5,0.3,40,30,10,0.75,2013,0.77,0.37,0.4,4.64,4.74,4.54
18,Andrea Bargnani,NYK,28,29.9,13.3,5.3,0.7,2.0,1.6,3.6,5.3,1.1,0.3,1.2,42,15,27,0.35714285714285715,2013,1.89,1.0,0.89,3.81,3.88,3.73
19,Andrew Bogut,GSW,29,26.4,7.3,3.5,0.0,0.3,2.7,7.3,10.0,1.7,0.7,1.8,67,40,27,0.5970149253731343,2013,1.72,0.9,0.82,3.93,4.33,3.56
20,Andrew Bynum,IND,26,19.8,8.7,3.6,0.0,1.4,2.0,3.5,5.6,1.1,0.2,1.1,26,11,15,0.4230769230769231,2013,1.21,0.64,0.57,3.72,3.78,3.64
21,Andrew Nicholson,ORL,24,15.4,5.7,2.4,0.4,0.6,0.7,2.7,3.4,0.3,0.2,0.3,76,19,57,0.25,2013,1.07,0.57,0.51,4.19,4.41,3.97
22,Andris Biedrins,UTA,28,7.4,0.5,0.2,0.0,0.2,0.3,2.5,2.8,0.0,0.0,0.0,6,0,6,0.0,2013,0.51,0.28,0.23,4.17,4.71,3.66
23,Antawn Jamison,LAC,38,11.3,3.8,1.3,0.4,0.8,0.4,2.1,2.5,0.3,0.4,0.1,22,15,7,0.6818181818181818,2013,0.83,0.44,0.4,4.45,4.93,4.01
24,Anthony Bennett,CLE,21,12.7,4.2,1.5,0.3,0.8,0.9,2.0,3.0,0.3,0.4,0.2,52,20,32,0.38461538461538464,2013,0.92,0.49,0.43,4.33,4.78,3.91
25,Anthony Davis,NOP,21,35.2,20.8,7.8,0.0,5.2,3.1,7.0,10.0,1.6,1.3,2.8,67,29,38,0.4328358208955224,2013,2.42,1.28,1.14,4.13,4.36,3.91
26,Anthony Morrow,NOP,28,18.8,8.4,3.1,1.2,0.9,0.4,1.5,1.8,0.8,0.5,0.2,76,32,44,0.42105263157894735,2013,1.3,0.7,0.6,4.15,4.36,3.93
27,Anthony Randolph,DEN,24,12.3,4.8,1.6,0.4,1.2,0.5,2.4,2.8,0.7,0.6,0.4,43,15,28,0.3488372093023256,2013,0.86,0.45,0.41,4.22,4.63,3.85
28,Anthony Tolliver,CHA,29,20.3,6.1,2.0,1.6,0.5,0.5,2.1,2.6,0.7,0.3,0.2,64,33,31,0.515625,2013,1.45,0.8,0.65,4.3,4.61,3.96
29,Arinze Onuaku,CLE,26,6.0,0.6,0.2,0.0,0.2,0.4,1.2,1.6,0.6,0.0,0.0,5,2,3,0.4,2013,0.42,0.22,0.2,4.18,4.72,3.72
30,Arnett Moultrie,PHI,23,15.6,3.0,1.3,0.0,0.3,0.9,2.0,2.9,0.2,0.7,0.3,12,0,12,0.0,2013,1.13,0.59,0.54,4.36,4.83,3.95
31,Aron Baynes,SAS,27,9.3,3.0,1.3,0.0,0.4,1.1,1.7,2.7,0.6,0.0,0.1,53,41,12,0.7735849056603774,2013,0.66,0.36,0.3,4.3,4.63,3.97
32,Arron Afflalo,ORL,28,35.0,18.2,6.4,1.8,3.8,0.4,3.2,3.6,3.4,0.5,0.0,73,21,52,0.2876712328767123,2013,2.43,1.33,1.09,4.18,4.51,3.84
33,Austin Daye,SAS,26,6.7,3.0,1.1,0.5,0.3,0.2,1.0,1.2,0.4,0.2,0.2,22,16,6,0.7272727272727273,2013,0.48,0.26,0.21,4.26,4.4,4.01
34,Austin Rivers,NOP,21,19.4,7.7,2.8,0.5,1.6,0.4,1.5,1.9,2.3,0.7,0.1,69,27,42,0.39130434782608703,2013,1.36,0.76,0.6,4.21,4.58,3.82
35,Avery Bradley,BOS,23,30.9,14.9,6.0,1.3,1.5,0.8,3.0,3.8,1.4,1.1,0.2,60,19,41,0.31666666666666665,2013,2.26,1.18,1.08,4.39,4.58,4.2
36,Ben Gordon,CHA,31,14.7,5.2,1.9,0.4,0.9,0.2,1.3,1.4,1.1,0.5,0.1,19,8,11,0.42105263157894735,2013,1.04,0.56,0.48,4.27,4.7,3.85
37,Beno Udrih,MEM,31,15.7,4.9,1.9,0.5,0.6,0.2,1.2,1.4,2.8,0.6,0.1,41,18,23,0.4390243902439024,2013,1.17,0.65,0.51,4.47,4.84,4.08
38,Bernard James,DAL,29,4.9,0.9,0.4,0.0,0.2,0.5,0.9,1.4,0.1,0.1,0.3,30,17,13,0.5666666666666667,2013,0.34,0.18,0.17,4.24,4.27,4.21
39,Blake Griffin,LAC,25,35.8,24.1,9.0,0.2,6.0,2.4,7.1,9.5,3.9,1.2,0.6,80,56,24,0.7,2013,2.36,1.2,1.15,3.96,4.24,3.7
40,Boris Diaw,SAS,32,25.0,9.1,3.8,0.6,0.9,0.9,3.2,4.1,2.8,0.6,0.4,79,60,19,0.7594936708860759,2013,1.79,0.98,0.81,4.3,4.79,3.83
41,Brandan Wright,DAL,26,18.6,9.1,3.9,0.0,1.3,1.8,2.4,4.2,0.5,0.6,0.9,58,36,22,0.6206896551724138,2013,1.25,0.64,0.61,4.03,4.05,4.01
42,Brandon Bass,BOS,29,27.6,11.1,4.3,0.0,2.5,2.0,3.8,5.7,1.1,0.4,0.9,82,25,57,0.3048780487804878,2013,1.86,0.99,0.87,4.04,4.23,3.84
43,Brandon Davies,PHI,22,11.3,2.8,1.1,0.0,0.7,0.7,1.4,2.1,0.5,0.5,0.2,51,15,36,0.29411764705882354,2013,0.86,0.44,0.42,4.61,4.97,4.27
44,Brandon Jennings,DET,24,34.1,15.5,5.3,1.9,3.0,0.7,2.3,3.1,7.6,1.3,0.1,80,28,52,0.35,2013,2.43,1.33,1.11,4.29,4.69,3.89
45,Brandon Knight,MIL,22,33.3,17.9,6.4,1.5,3.6,0.6,2.9,3.5,4.9,1.0,0.2,72,13,59,0.18055555555555555,2013,2.39,1.32,1.07,4.31,4.75,3.87
46,Brandon Rush,UTA,28,11.0,2.1,0.8,0.4,0.1,0.1,1.0,1.2,0.6,0.1,0.2,38,13,25,0.34210526315789475,2013,0.77,0.43,0.34,4.22,4.41,4.02
47,Brook Lopez,BKN,26,31.4,20.7,7.6,0.0,5.5,2.3,3.7,6.0,0.9,0.5,1.8,17,7,10,0.4117647058823529,2013,2.0,1.02,0.98,3.83,3.91,3.73
48,Byron Mullens,PHI,25,9.2,4.2,1.6,0.7,0.2,0.5,1.5,2.0,0.3,0.3,0.2,45,16,29,0.3555555555555556,2013,0.64,0.33,0.3,4.16,4.53,3.82
49,C.J. Watson,IND,30,18.9,6.6,2.3,0.8,1.1,0.3,1.3,1.6,1.7,1.0,0.1,63,48,15,0.7619047619047619,2013,1.38,0.74,0.64,4.37,4.66,4.08
50,CJ McCollum,POR,22,12.5,5.3,1.9,0.8,0.6,0.2,1.1,1.3,0.7,0.4,0.1,38,21,17,0.5526315789473685,2013,0.94,0.51,0.43,4.5,4.89,4.1
51,CJ Miles,CLE,27,19.3,9.9,3.5,1.6,1.3,0.4,1.7,2.0,1.0,0.9,0.3,51,21,30,0.4117647058823529,2013,1.36,0.73,0.63,4.25,4.58,3.92
52,Carl Landry,SAC,30,12.9,4.2,1.7,0.0,0.8,0.8,2.3,3.2,0.3,0.2,0.1,18,5,13,0.2777777777777778,2013,0.88,0.48,0.4,4.08,4.21,3.93
53,Carlos Boozer,CHI,32,28.2,13.7,5.9,0.0,1.9,1.8,6.5,8.3,1.6,0.7,0.3,76,43,33,0.5657894736842105,2013,1.75,0.93,0.82,3.75,3.87,3.61
54,Carmelo Anthony,NYK,30,38.7,27.4,9.6,2.2,6.0,1.9,6.2,8.1,3.1,1.2,0.7,77,35,42,0.4545454545454545,2013,2.42,1.28,1.14,3.76,3.87,3.65
55,Caron Butler,OKC,34,25.3,10.5,3.8,1.8,1.1,0.4,3.7,4.1,1.5,0.8,0.3,56,21,35,0.375,2013,1.63,0.85,0.77,3.85,4.0,3.71
56,Carrick Felix,CLE,23,5.4,2.7,1.0,0.3,0.4,0.1,0.7,0.9,0.6,0.0,0.0,7,2,5,0.2857142857142857,2013,0.42,0.21,0.21,4.72,5.34,4.23
57,Cartier Martin,ATL,29,14.7,5.6,1.9,1.0,0.8,0.2,1.6,1.9,0.6,0.5,0.1,59,27,32,0.4576271186440678,2013,1.06,0.56,0.5,4.36,4.68,4.05
58,Casper Ware,PHI,24,12.9,5.3,2.0,0.8,0.6,0.0,1.0,1.0,1.1,0.9,0.0,9,3,6,0.3333333333333333,2013,1.01,0.52,0.49,4.74,5.22,4.32
59,Chandler Parsons,HOU,25,37.6,16.6,6.3,1.8,2.2,0.9,4.6,5.5,4.0,1.2,0.4,74,50,24,0.6756756756756757,2013,2.71,1.45,1.27,4.34,4.75,3.95
60,Channing Frye,PHX,31,28.2,11.1,4.1,2.0,1.0,0.9,4.2,5.1,1.2,0.7,0.8,82,48,34,0.5853658536585366,2013,1.84,1.0,0.84,3.93,4.35,3.52
61,Charlie Villanueva,DET,29,9.0,4.6,1.8,0.7,0.4,0.3,1.4,1.7,0.3,0.2,0.3,20,5,15,0.25,2013,0.61,0.33,0.28,4.08,4.36,3.8
62,Chase Budinger,MIN,26,18.3,6.7,2.4,1.0,0.8,0.5,2.0,2.5,0.8,0.5,0.0,41,21,20,0.5121951219512195,2013,1.26,0.67,0.59,4.16,4.51,3.82
63,Chauncey Billups,DET,37,16.3,3.8,1.3,0.7,0.5,0.2,1.3,1.5,2.2,0.4,0.1,19,7,12,0.3684210526315789,2013,1.07,0.58,0.49,3.97,4.21,3.72
64,Chris Andersen,MIA,35,19.4,6.6,2.5,0.0,1.7,1.8,3.5,5.3,0.3,0.4,1.3,72,49,23,0.6805555555555556,2013,1.33,0.67,0.67,4.14,4.13,4.14
65,Chris Bosh,MIA,30,32.0,16.2,6.2,0.9,2.8,1.2,5.4,6.6,1.1,1.0,1.0,79,53,26,0.6708860759493671,2013,2.04,1.01,1.02,3.82,3.87,3.77
66,Chris Copeland,IND,30,6.5,3.7,1.3,0.8,0.2,0.2,0.6,0.8,0.4,0.1,0.2,41,25,16,0.6097560975609756,2013,0.41,0.22,0.19,3.81,3.96,3.65
67,Chris Douglas-Roberts,CHA,27,20.7,6.9,2.3,1.0,1.3,0.3,2.1,2.4,1.0,0.6,0.3,49,27,22,0.5510204081632653,2013,1.47,0.78,0.69,4.26,4.46,4.05
68,Chris Johnson,BOS,24,19.7,6.3,2.1,1.1,0.9,0.8,1.7,2.4,0.8,0.7,0.1,40,11,29,0.275,2013,1.53,0.82,0.71,4.67,5.08,4.27
69,Chris Kaman,LAL,32,18.9,10.4,4.5,0.0,1.3,1.4,4.5,5.9,1.5,0.3,1.0,39,13,26,0.3333333333333333,2013,1.33,0.69,0.64,4.23,4.5,3.97
70,Chris Paul,LAC,29,35.0,19.1,6.5,1.3,4.8,0.6,3.7,4.3,10.7,2.5,0.1,62,44,18,0.7096774193548387,2013,2.36,1.25,1.11,4.05,4.52,3.62
71,Chris Singleton,WAS,24,10.0,3.0,1.0,0.3,0.7,0.7,1.5,2.2,0.2,0.4,0.1,25,13,12,0.52,2013,0.72,0.39,0.33,4.34,4.53,4.08
72,Chris Smith,NYK,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0.0,2013,0.07,0.04,0.03,3.06,5.84,6.42
73,Chris Wright,MIL,25,15.7,6.0,2.6,0.0,0.8,1.3,1.3,2.5,0.6,0.9,0.6,8,1,7,0.125,2013,1.21,0.62,0.59,4.65,4.89,4.41
74,Cody Zeller,CHA,21,17.3,6.0,2.1,0.0,1.8,1.4,2.9,4.3,1.1,0.5,0.5,82,43,39,0.5243902439024389,2013,1.32,0.75,0.57,4.59,5.13,4.03
75,Cole Aldrich,NYK,25,7.2,2.0,0.7,0.0,0.6,0.8,2.0,2.8,0.3,0.2,0.7,46,26,20,0.5652173913043478,2013,0.48,0.25,0.23,4.04,4.24,3.84
76,Corey Brewer,MIN,28,32.2,12.3,4.8,0.7,2.0,0.8,1.8,2.6,1.7,1.9,0.4,81,40,41,0.4938271604938271,2013,2.23,1.14,1.09,4.16,4.23,4.1
77,Cory Joseph,SAS,22,13.8,5.0,1.9,0.2,1.2,0.5,1.1,1.6,1.7,0.5,0.2,68,52,16,0.7647058823529411,2013,1.08,0.58,0.5,4.73,5.03,4.41
78,Courtney Lee,MEM,28,25.0,9.6,3.7,0.9,1.3,0.4,2.0,2.4,1.5,0.8,0.4,79,47,32,0.5949367088607594,2013,1.78,0.97,0.81,4.28,4.49,4.06
79,DJ Stephens,MIL,23,4.9,2.3,1.0,0.0,0.3,0.3,1.3,1.7,0.0,0.0,0.0,3,0,3,0.0,2013,0.36,0.19,0.17,4.51,4.88,4.13
80,DJ White,CHA,27,5.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,2,2,0,1.0,2013,0.39,0.21,0.18,4.68,4.61,4.75
81,Damian Lillard,POR,23,35.8,20.7,6.7,2.7,4.5,0.4,3.1,3.5,5.6,0.8,0.3,82,54,28,0.6585365853658537,2013,2.55,1.4,1.15,4.28,4.66,3.89
82,Damion James,SAS,26,10.1,1.2,0.4,0.0,0.4,0.2,2.2,2.4,0.6,0.0,0.2,5,1,4,0.2,2013,0.78,0.43,0.36,4.66,4.99,4.32
83,Daniel Orton,PHI,23,11.4,3.0,1.0,0.0,1.0,0.7,2.0,2.8,0.7,0.3,0.7,22,7,15,0.3181818181818182,2013,0.79,0.41,0.37,4.15,4.53,3.79
84,Danny Granger,LAC,31,20.7,8.2,2.8,1.0,1.5,0.8,2.5,3.2,1.0,0.3,0.4,41,31,10,0.7560975609756098,2013,1.41,0.75,0.66,4.1,4.28,3.92
85,Danny Green,SAS,27,24.3,9.1,3.2,1.9,0.7,0.4,3.0,3.4,1.5,1.0,0.9,68,54,14,0.7941176470588235,2013,1.87,1.01,0.86,4.64,5.03,4.25
86,Dante Cunningham,MIN,27,20.2,6.3,2.9,0.0,0.5,1.4,2.7,4.1,1.0,0.8,0.7,81,39,42,0.4814814814814815,2013,1.49,0.79,0.7,4.43,4.69,4.18
87,Darius Johnson-Odom,PHI,24,5.1,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.3,0.0,3,0,3,0.0,2013,0.4,0.2,0.21,4.72,5.21,4.31
88,Darius Miller,NOP,24,16.1,4.4,1.6,0.6,0.6,0.2,1.0,1.2,1.0,0.5,0.2,45,14,31,0.3111111111111111,2013,1.08,0.58,0.49,4.03,4.23,3.81
89,Darius Morris,MEM,23,11.6,4.0,1.4,0.4,0.6,0.3,0.7,1.0,1.6,0.5,0.0,27,16,11,0.5925925925925926,2013,0.9,0.46,0.44,4.67,4.78,4.52
90,Darrell Arthur,DEN,26,17.1,5.9,2.4,0.4,0.8,0.8,2.3,3.1,0.9,0.6,0.7,68,33,35,0.4852941176470588,2013,1.17,0.6,0.57,4.12,4.47,3.81
91,Darren Collison,LAC,26,25.9,11.4,4.1,0.9,2.4,0.6,1.8,2.4,3.7,1.2,0.2,80,56,24,0.7,2013,1.88,0.96,0.92,4.37,4.61,4.16
92,David West,IND,33,30.9,14.0,5.7,0.1,2.5,1.5,5.3,6.8,2.8,0.8,0.9,80,54,26,0.675,2013,1.91,1.02,0.89,3.71,3.89,3.53
93,DeAndre Jordan,LAC,25,35.0,10.4,4.2,0.0,2.0,4.0,9.5,13.6,0.9,1.0,2.5,82,57,25,0.6951219512195121,2013,2.28,1.15,1.14,3.92,4.15,3.71
94,DeAndre Liggins,MIA,26,1.4,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,0,1.0,2013,0.08,0.05,0.04,4.28,0.0,0.0
95,DeJuan Blair,DAL,25,15.6,6.4,2.7,0.0,1.0,1.8,2.9,4.7,0.9,0.8,0.3,78,46,32,0.5897435897435898,2013,1.02,0.51,0.51,3.95,3.95,3.97
96,DeMar DeRozan,TOR,24,38.2,22.7,7.6,0.8,6.6,0.6,3.7,4.3,4.0,1.1,0.4,79,45,34,0.569620253164557,2013,2.62,1.45,1.17,4.13,4.43,3.8
97,DeMarre Carroll,ATL,27,32.1,11.1,4.1,1.3,1.5,1.5,4.1,5.5,1.8,1.5,0.3,73,37,36,0.5068493150684932,2013,2.19,1.11,1.08,4.11,4.23,3.99
98,Derek Fisher,OKC,39,17.6,5.2,1.7,1.1,0.7,0.1,1.4,1.5,1.4,0.9,0.0,81,59,22,0.7283950617283951,2013,1.18,0.62,0.56,4.02,4.37,3.69
99,Deron Williams,BKN,30,32.2,14.3,5.0,1.5,2.7,0.2,2.4,2.6,6.1,1.5,0.2,64,37,27,0.578125,2013,2.23,1.2,1.03,4.18,4.56,3.8
100,Derrick Rose,CHI,25,31.1,15.9,5.8,1.6,2.7,0.9,2.3,3.2,4.3,0.5,0.1,10,5,5,0.5,2013,2.28,1.25,1.03,4.45,4.88,4.01
101,Devin Harris,DAL,31,20.4,7.9,2.4,0.8,2.3,0.2,1.9,2.1,4.5,0.7,0.1,40,24,16,0.6,2013,1.41,0.78,0.63,4.14,4.55,3.74
102,Dewayne Dedmon,ORL,24,12.6,3.1,1.2,0.0,0.7,1.2,2.9,4.1,0.2,0.2,0.7,31,7,24,0.2258064516129032,2013,0.91,0.49,0.43,4.37,4.69,4.03
103,Dexter Pittman,ATL,26,1.5,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,2,0,2,0.0,2013,0.08,0.04,0.04,4.27,5.07,3.7
104,Diante Garrett,UTA,25,14.8,3.5,1.4,0.5,0.1,0.2,1.2,1.4,1.7,0.6,0.1,71,23,48,0.323943661971831,2013,1.08,0.6,0.48,4.39,4.66,4.09
105,Dion Waiters,CLE,22,29.6,15.9,6.1,1.3,2.3,0.5,2.3,2.8,3.0,0.9,0.2,70,28,42,0.4,2013,2.09,1.13,0.95,4.22,4.64,3.81
106,Dionte Christmas,PHX,27,6.4,2.3,0.7,0.3,0.6,0.4,0.8,1.2,0.3,0.1,0.1,31,15,16,0.4838709677419355,2013,0.47,0.25,0.22,4.43,4.76,4.17
107,Dirk Nowitzki,DAL,36,32.9,21.7,7.9,1.6,4.2,0.5,5.7,6.2,2.7,0.9,0.6,80,48,32,0.6,2013,2.08,1.11,0.96,3.8,4.02,3.59
108,Donald Sloan,IND,26,8.2,2.3,0.9,0.2,0.3,0.1,0.8,0.9,1.0,0.2,0.0,48,31,17,0.6458333333333334,2013,0.58,0.32,0.26,4.29,4.51,4.05
109,Donatas Motiejunas,HOU,23,15.4,5.5,2.1,0.3,0.9,1.0,2.7,3.6,0.5,0.3,0.3,62,42,20,0.6774193548387096,2013,1.15,0.59,0.57,4.51,4.84,4.21
110,Dorell Wright,POR,28,14.5,5.0,1.6,1.0,0.8,0.4,2.4,2.8,0.9,0.3,0.2,68,48,20,0.7058823529411765,2013,1.03,0.56,0.47,4.29,4.54,4.02
111,Doron Lamb,ORL,22,13.1,3.6,1.2,0.7,0.5,0.2,0.8,0.9,0.8,0.2,0.0,53,13,40,0.2452830188679245,2013,0.92,0.49,0.43,4.22,4.48,3.96
112,Draymond Green,GSW,24,21.9,6.2,2.3,0.7,1.0,1.0,3.9,5.0,1.9,1.2,0.9,82,51,31,0.6219512195121951,2013,1.5,0.78,0.73,4.14,4.47,3.83
113,Drew Gooden,WAS,32,18.0,8.3,3.5,0.3,1.1,1.7,3.5,5.2,0.7,0.5,0.3,22,12,10,0.5454545454545454,2013,1.23,0.66,0.57,4.14,4.38,3.9
114,Dwight Buycks,TOR,25,10.4,3.1,1.1,0.4,0.6,0.3,1.4,1.6,0.7,0.6,0.0,14,5,9,0.35714285714285715,2013,0.76,0.42,0.34,4.37,4.69,4.02
115,Dwight Howard,HOU,28,33.8,18.3,6.7,0.0,4.9,3.3,8.9,12.2,1.8,0.8,1.8,71,48,23,0.676056338028169,2013,2.17,1.15,1.03,3.87,4.18,3.58
116,Dwyane Wade,MIA,32,32.9,19.0,7.7,0.2,3.5,1.1,3.4,4.5,4.7,1.5,0.5,54,36,18,0.6666666666666666,2013,2.24,1.17,1.07,4.1,4.38,3.84
117,E'Twaun Moore,ORL,25,19.1,6.3,2.5,0.7,0.7,0.4,1.4,1.7,1.4,0.8,0.2,79,22,57,0.27848101265822783,2013,1.37,0.72,0.65,4.34,4.59,4.09
118,Earl Clark,NYK,26,14.2,4.8,1.8,0.8,0.4,0.4,2.2,2.6,0.3,0.3,0.5,54,22,32,0.4074074074074074,2013,1.05,0.57,0.49,4.47,4.8,4.12
119,Earl Watson,POR,35,6.7,0.5,0.1,0.1,0.2,0.2,0.4,0.6,1.2,0.2,0.0,24,17,7,0.7083333333333334,2013,0.48,0.24,0.24,4.34,4.31,4.37
120,Ed Davis,MEM,25,15.2,5.7,2.5,0.0,0.7,1.5,2.7,4.1,0.4,0.3,0.7,63,38,25,0.6031746031746031,2013,1.09,0.57,0.52,4.32,4.47,4.17
121,Ekpe Udoh,MIL,27,19.1,3.4,1.4,0.0,0.7,1.5,2.1,3.5,0.7,0.4,1.0,42,7,35,0.16666666666666666,2013,1.28,0.67,0.61,4.03,4.21,3.84
122,Elias Harris,LAL,24,5.7,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,2,1,1,0.5,2013,0.42,0.2,0.22,4.23,4.76,3.8
123,Elliot Williams,PHI,25,17.3,6.0,2.1,0.6,1.3,0.4,1.5,1.9,1.1,0.5,0.0,67,13,54,0.19402985074626866,2013,1.26,0.62,0.64,4.39,4.51,4.29
124,Enes Kanter,UTA,22,26.7,12.3,5.2,0.0,1.9,2.8,4.7,7.5,0.9,0.4,0.5,80,23,57,0.2875,2013,1.81,0.99,0.82,4.08,4.21,3.94
125,Eric Bledsoe,PHX,24,32.9,17.7,6.2,1.2,4.3,0.6,4.1,4.7,5.5,1.6,0.3,43,28,15,0.6511627906976745,2013,2.24,1.19,1.05,4.11,4.38,3.84
126,Eric Gordon,NOP,25,32.1,15.4,5.6,1.6,2.7,0.5,2.1,2.6,3.3,1.2,0.2,64,26,38,0.40625,2013,2.22,1.22,1.0,4.15,4.6,3.72
127,Eric Maynor,PHI,27,10.5,2.6,1.0,0.4,0.2,0.3,1.0,1.3,1.7,0.3,0.1,31,11,20,0.3548387096774194,2013,0.76,0.41,0.36,4.37,4.61,4.12
128,Erik Murphy,CHI,23,2.6,0.3,0.1,0.0,0.0,0.1,0.3,0.3,0.1,0.0,0.2,24,13,11,0.5416666666666666,2013,0.19,0.11,0.08,4.45,4.61,4.26
129,Ersan Ilyasova,MIL,27,26.9,11.2,4.3,0.7,1.9,1.9,4.3,6.2,1.3,0.8,0.1,55,10,45,0.18181818181818185,2013,1.82,1.0,0.83,4.07,4.41,3.72
130,Evan Fournier,DEN,21,19.8,8.4,3.0,1.2,1.2,0.4,2.2,2.7,1.5,0.4,0.1,76,35,41,0.4605263157894737,2013,1.46,0.76,0.7,4.44,4.88,4.05
131,Evan Turner,IND,25,30.3,14.0,5.4,0.6,2.6,0.8,4.3,5.0,3.2,0.8,0.1,81,29,52,0.3580246913580247,2013,2.12,1.1,1.01,4.2,4.57,3.86
132,Francisco Garcia,HOU,32,19.7,5.7,2.1,1.3,0.2,0.4,1.8,2.2,1.1,0.5,0.6,55,33,22,0.6,2013,1.34,0.68,0.66,4.12,4.28,3.97
133,Gal Mekel,DAL,26,9.4,2.4,1.0,0.2,0.3,0.2,0.7,0.9,2.0,0.1,0.0,31,18,13,0.5806451612903226,2013,0.71,0.41,0.3,4.54,5.12,3.9
134,George Hill,IND,28,32.0,10.3,3.6,1.3,1.9,0.7,3.0,3.7,3.5,1.0,0.3,76,50,26,0.6578947368421053,2013,2.19,1.19,1.01,4.11,4.32,3.9
135,Gerald Green,PHX,28,28.4,15.8,5.5,2.5,2.4,0.6,2.8,3.4,1.5,0.9,0.5,82,48,34,0.5853658536585366,2013,1.99,1.04,0.96,4.23,4.45,4.01
136,Gerald Henderson,CHA,26,32.0,14.0,5.2,0.5,3.1,0.4,3.6,4.0,2.6,0.7,0.4,77,40,37,0.5194805194805194,2013,2.37,1.33,1.04,4.45,4.86,4.02
